house_age,location_risk,roof_type,past_claims,property_value,risk
39,0.4792789285762873,1,2,345993,0.5156394642881437
29,0.6157420219422428,2,3,330168,0.6038710109711214
15,0.3290174378146622,2,4,704019,0.4645087189073311
43,0.47018259269666507,1,4,605421,0.6470912963483325
8,0.7442790655949556,1,0,951563,0.40413953279747783
21,0.8718327789731212,2,3,950712,0.6999163894865605
39,0.4336553339563889,3,3,902194,0.5528276669781944
19,0.04366165770736119,2,1,217798,0.1578308288536806
23,0.16167254414680265,1,1,741142,0.23283627207340135
11,0.0208611392915381,3,1,337902,0.11443056964576906
11,0.6532630192373301,1,2,420847,0.49063150961866503
24,0.3323146253551089,3,1,574650,0.32215731267755443
36,0.5424786357193675,1,3,163079,0.5952393178596838
40,0.49327684678379957,3,2,645865,0.5266384233918998
24,0.0815264895524267,3,4,887646,0.37676324477621337
3,0.4032613611238318,1,0,972771,0.21363068056191592
22,0.22056112492232327,3,1,410258,0.25828056246116166
2,0.4183997886676527,2,4,582450,0.45719989433382635
24,0.20357828034224268,1,3,949662,0.3777891401711213
44,0.8404524062769335,2,0,616379,0.5962262031384667
30,0.17419333657825364,1,4,788340,0.4470966682891268
38,0.9607805514869769,3,0,167194,0.6323902757434885
2,0.4159073661469408,3,1,571022,0.2759536830734704
21,0.8462452920190493,3,3,212333,0.6871226460095247
33,0.6287648182059451,1,0,662080,0.44638240910297255
12,0.7353502986657526,2,4,145807,0.6556751493328763
22,0.7677238880667803,2,1,617513,0.5318619440333902
44,0.5048448818930178,1,1,487410,0.4884224409465089
25,0.5433005233632884,1,4,760501,0.6116502616816442
49,0.513995867808725,2,4,609698,0.6929979339043625
27,0.5880583780900792,2,0,728580,0.4020291890450396
42,0.029394445756507293,2,2,747272,0.3026972228782536
28,0.39551516984901525,2,1,638065,0.3697575849245076
16,0.6061887135611715,1,0,138346,0.3670943567805858
15,0.5977235652558643,1,4,941135,0.5988617826279321
47,0.7929560946056315,3,0,719265,0.5844780473028157
44,0.6550093388321085,2,4,409963,0.7435046694160543
3,0.9921333163406724,3,3,234917,0.6880666581703362
37,0.283854528608645,1,4,996618,0.5299272643043225
7,0.35915102966623147,1,4,647578,0.44757551483311575
21,0.3838471518677963,3,4,474695,0.5159235759338981
